"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.134527458E0,-4.345836639E-1,1.253256989E1,-5.036184692E1,5.189961268E1
2.144562458E0,-7.139282227E-1,1.248972321E1,-5.027116394E1,5.180437050E1
2.154598458E0,-7.406635284E-1,1.232904053E1,-5.033593750E1,5.182914650E1
2.164633458E0,-7.100563049E-1,1.244567108E1,-5.040246582E1,5.192116591E1
2.174668458E0,-6.036262512E-1,1.234030914E1,-4.989765930E1,5.140451340E1
2.184704458E0,-6.088008881E-1,1.240285492E1,-5.063165283E1,5.213219463E1
2.194739458E0,-5.635089874E-1,1.254322052E1,-5.076829529E1,5.229789412E1
2.204775458E0,-4.186439514E-1,1.257486725E1,-5.093428040E1,5.246525963E1
2.214810458E0,-8.829307556E-2,1.239563751E1,-5.082746887E1,5.231721721E1
2.224846458E0,6.847381592E-4,1.278240967E1,-5.100906372E1,5.258625846E1
2.234881458E0,-2.697925568E-1,1.282455444E1,-5.088941956E1,5.248118718E1
2.244917458E0,-2.040367126E-1,1.260226440E1,-5.057209778E1,5.211905384E1
2.254952458E0,8.079910278E-2,1.251966858E1,-5.077458191E1,5.229538027E1
2.264987458E0,8.136177063E-2,1.245861053E1,-5.017207336E1,5.169584647E1
2.275023458E0,5.435180664E-2,1.244814301E1,-5.057714844E1,5.208653533E1
2.285058458E0,-6.669807434E-2,1.271514893E1,-5.060086060E1,5.217400266E1
2.295094458E0,1.943340302E-1,1.255603027E1,-5.089756775E1,5.242379293E1
2.305129458E0,5.076599121E-2,1.274190521E1,-5.046293640E1,5.204677392E1
2.315165458E0,2.548370361E-1,1.263144684E1,-5.059117126E1,5.214484635E1
2.325200458E0,2.967624664E-1,1.255256653E1,-5.055197144E1,5.208797184E1
2.335235458E0,2.669200897E-1,1.260530853E1,-5.042184448E1,5.197429606E1
2.345271458E0,-2.107810974E-2,1.247267151E1,-5.041487122E1,5.193483627E1
2.355306458E0,-1.326923370E-1,1.262460327E1,-5.066699219E1,5.221630313E1
2.365342458E0,-7.915115356E-2,1.245257568E1,-5.087570190E1,5.237757106E1
