"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.254302000E0,-4.412157059E0,2.305641174E1,-3.934681702E1,4.581743404E1
1.264338000E0,-4.324159622E0,2.290479279E1,-3.889237976E1,4.534253072E1
1.274375000E0,-4.455812454E0,2.285030365E1,-3.932618713E1,4.570054306E1
1.284411000E0,-4.487421036E0,2.296331787E1,-3.931402588E1,4.574979285E1
1.294448000E0,-4.445035934E0,2.321166992E1,-3.966429138E1,4.617137615E1
1.304484000E0,-4.590814590E0,2.312693787E1,-3.955337524E1,4.604780480E1
1.314520000E0,-4.674802780E0,2.289189148E1,-3.947184753E1,4.586849926E1
1.324557000E0,-4.494085312E0,2.283123779E1,-3.973048401E1,4.604317085E1
1.334593000E0,-4.638265610E0,2.291201782E1,-3.980303955E1,4.616011293E1
1.344629000E0,-4.685121536E0,2.266368103E1,-3.980558777E1,4.604430062E1
1.354666000E0,-4.779966354E0,2.274826050E1,-3.974124146E1,4.604017492E1
1.364702000E0,-4.713266373E0,2.299343872E1,-3.973605347E1,4.615048265E1
1.374739000E0,-4.752630234E0,2.278365326E1,-3.979898071E1,4.610467672E1
1.384775000E0,-4.785741806E0,2.275421143E1,-3.956742859E1,4.589377809E1
1.394811000E0,-4.917882919E0,2.285292053E1,-3.954492188E1,4.593737471E1
1.404848000E0,-4.893182755E0,2.288856506E1,-3.929498291E1,4.573757022E1
1.414884000E0,-4.963918686E0,2.280953979E1,-3.969456482E1,4.604969132E1
1.424921000E0,-5.187654495E0,2.264724731E1,-3.941755676E1,4.575536418E1
1.434957000E0,-4.867975235E0,2.263076019E1,-3.960913086E1,4.587735539E1
1.444993000E0,-5.034761429E0,2.283272552E1,-3.964250183E1,4.602401687E1
1.455030000E0,-4.904409409E0,2.298573303E1,-3.974577332E1,4.617492448E1
1.465066000E0,-5.045053482E0,2.281080627E1,-3.942716980E1,4.582889008E1
1.475103000E0,-5.139257431E0,2.277717590E1,-3.956443787E1,4.594079291E1
1.485139000E0,-5.169267654E0,2.280006409E1,-3.971220398E1,4.608278849E1
1.495175000E0,-5.226724625E0,2.278748322E1,-3.973889160E1,4.610604675E1
1.505212000E0,-5.001428604E0,2.279341888E1,-3.946575928E1,4.584866833E1
1.515248000E0,-5.188386917E0,2.272659302E1,-3.902120972E1,4.545406689E1
1.525284000E0,-4.867300034E0,2.269327545E1,-3.919531250E1,4.555159583E1
1.535321000E0,-4.966978073E0,2.250770569E1,-3.939877319E1,4.564571191E1
1.545357000E0,-5.162885666E0,2.260505676E1,-3.938278198E1,4.570172312E1
1.555394000E0,-5.015157700E0,2.241300964E1,-3.952326965E1,4.571196399E1
1.565430000E0,-4.894582748E0,2.232785034E1,-3.929269409E1,4.545773477E1
1.575466000E0,-4.901845932E0,2.248754883E1,-3.929933167E1,4.554289643E1
1.585503000E0,-4.798704147E0,2.243308258E1,-3.942610168E1,4.561456182E1
1.595539000E0,-4.886892319E0,2.242491913E1,-3.953804016E1,4.571668551E1
1.605576000E0,-4.914110184E0,2.228527069E1,-3.975814819E1,4.584203438E1
1.615612000E0,-4.749044418E0,2.237182617E1,-3.983924866E1,4.593710660E1
1.625648000E0,-4.624559402E0,2.248483276E1,-3.986054993E1,4.599801838E1
1.635685000E0,-4.746736526E0,2.239537048E1,-3.982614136E1,4.593697489E1
1.645721000E0,-4.791410446E0,2.247412109E1,-3.990229797E1,4.604603258E1
1.655758000E0,-4.891519547E0,2.268467712E1,-3.984851074E1,4.611317977E1
1.665794000E0,-4.875276566E0,2.265702057E1,-3.947338867E1,4.577398077E1
1.675830000E0,-5.077501297E0,2.271614075E1,-3.970759583E1,4.602713587E1
1.685867000E0,-4.866228104E0,2.276495361E1,-3.997433472E1,4.625873674E1
1.695903000E0,-4.797418594E0,2.266413879E1,-4.011875916E1,4.632702504E1
1.705939000E0,-4.865282059E0,2.267380524E1,-3.966230774E1,4.594421692E1
1.715976000E0,-4.927137375E0,2.243285370E1,-3.938082886E1,4.558902597E1
1.726012000E0,-4.896013260E0,2.243408966E1,-3.960517883E1,4.578023061E1
1.736049000E0,-4.695623398E0,2.281887817E1,-3.941195679E1,4.578266504E1
1.746085000E0,-4.861078262E0,2.267361450E1,-3.938665771E1,4.570592612E1
1.756121000E0,-4.717916489E0,2.269970703E1,-3.965396118E1,4.593443232E1
